AT	11	15816
AU	33169	54374
AX	1533	1710
BE	11114	11114
BR	1741	63505
CA	24794	59845
CZ	753	15389
DE	6	18210
DK	8079	15389
ES	37634	37634
FI	20518	20518
FR	37617	37617
GB	29068	29068
GR	103	20518
HK	88	3847
HU	14	15389
IE	15389	15389
IM	1710	1710
IT	30863	30863
JE	855	855
JP	4449	44799
KR	2723	15389
LU	1522	3847
MC	15	684
MO	252	1026
MX	11715	49586
NL	10079	13679
NO	14746	27358
NZ	6791	22228
PL	451	25648
PT	13679	13679
RO	1196	24195
SE	13902	30778
SG	98	2992
SI	6	7694
SM	9	2137
TW	835	15389
US	6494	86126
ZA	20971	46799
